"ID_Hogar","P9","line","P10","P12","P14","P1","P50","P68","P82","P87","P90","P91","P92","P95","P96","P98","P100","P101","Estacion","Edad"
440145422,55,2,1,7,7,1,2,1,2,2,3,1,1,2,2,3,1,2,28,7
440145367,56,2,1,3,NA,1,4,1,1,2,3,1,1,3,3,2,2,3,28,7
440145353,65,2,2,3,NA,1,2,1,1,1,3,1,1,1,2,1,2,1,28,8
440144209,56,1,1,9,15,1,3,1,2,1,1,2,1,1,1,3,1,1,14,7
440144194,35,1,1,11,11,1,8,1,2,3,2,1,1,2,2,2,2,1,14,5
440143944,47,1,1,8,11,1,2,1,1,1,2,1,1,1,1,2,1,1,14,6
440143921,41,1,2,11,13,1,4,1,1,2,2,1,1,1,1,1,2,1,14,5
440143238,63,2,1,9,11,2,5,1,2,1,2,2,2,1,3,1,2,1,210,7
440142557,63,1,1,5,15,1,2,1,2,2,1,1,2,1,2,1,3,1,14,7
440142542,47,1,1,5,6,2,3,1,2,2,3,2,2,2,2,3,3,2,14,6
440142524,63,1,2,4,NA,1,2,1,1,1,1,1,2,2,2,1,1,1,14,7
440142519,55,1,2,2,15,3,2,1,2,3,1,1,2,1,1,2,2,2,14,7
440142518,77,2,1,2,17,1,3,1,2,2,2,2,1,3,3,3,2,1,210,8
440142467,41,2,2,8,15,1,6,2,2,2,1,1,1,3,2,1,3,1,28,5
440142453,33,2,1,4,9,1,9,1,2,1,2,1,1,1,3,3,1,1,28,4
440142433,55,2,2,5,NA,1,99,1,1,1,3,2,1,2,2,1,1,1,28,7
440141941,30,2,1,6,11,2,7,1,2,1,3,1,3,2,2,2,2,2,28,4
440141931,60,2,2,3,14,1,3,1,2,2,1,2,1,1,3,2,1,3,28,7
440141923,29,2,2,7,11,1,5,1,2,1,3,1,1,1,3,2,1,1,28,4
440141914,78,2,1,2,NA,1,5,1,1,1,3,1,1,1,1,3,1,1,28,8
440141907,44,2,2,11,11,3,6,1,2,2,2,2,1,1,3,3,2,1,28,5
440141771,48,1,2,9,NA,1,5,1,1,1,3,2,1,1,3,3,2,1,14,6
440141762,29,1,1,4,9,1,7,1,2,1,1,1,1,3,3,3,3,2,14,4
440139531,23,2,1,9,13,3,3,1,2,2,1,2,1,2,2,1,2,3,210,3
440139524,74,2,1,3,NA,1,5,1,1,2,3,3,3,3,2,3,3,3,210,8
440139510,52,2,2,7,15,1,2,1,2,2,2,2,2,1,2,2,3,2,210,6
440139502,41,2,1,4,9,1,5,1,2,2,2,2,1,2,3,2,2,2,210,5
440120629,30,1,1,9,11,3,5,1,2,2,2,2,2,2,2,2,2,2,115,4
440116447,68,1,2,2,15,1,6,1,2,2,1,2,2,2,3,2,2,1,115,8
440109190,76,2,1,4,NA,1,4,1,2,1,2,1,1,1,1,1,1,1,210,8
440101922,49,1,2,5,NA,1,3,1,1,1,1,2,1,1,3,3,2,2,14,6
440101138,52,2,1,5,11,1,5,1,2,1,2,2,2,3,2,3,2,1,210,6
440093532,24,2,1,5,15,1,4,1,2,1,2,1,2,3,3,1,3,1,210,3
439701812,58,2,2,7,NA,2,4,1,1,1,1,2,1,3,3,2,1,2,210,7
439701811,52,2,1,9,13,1,7,1,1,1,1,1,1,1,3,3,1,1,210,6
439701805,41,2,2,9,13,1,5,1,2,2,1,1,2,1,3,3,2,2,210,5
439701803,70,2,2,11,NA,2,6,1,1,2,2,2,2,2,2,2,2,1,210,8
439701792,46,2,1,3,15,2,6,1,1,1,2,1,2,1,1,2,2,2,210,6
439701789,34,2,2,7,15,1,3,1,2,1,2,2,2,2,2,1,3,3,210,4
439701777,40,2,1,7,17,2,6,1,2,1,1,1,1,1,3,2,2,2,210,5
439701751,29,2,2,9,17,1,99,2,2,3,3,3,3,3,3,1,3,3,210,4
439701746,55,2,1,7,17,2,3,1,2,1,1,1,2,2,2,2,2,1,210,7
439692944,52,2,1,7,6,2,8,1,2,1,3,1,2,1,1,1,1,1,28,6
439692935,52,2,2,7,14,1,4,1,1,1,3,1,1,1,3,2,2,1,28,6
439692933,48,2,1,3,11,2,8,1,2,1,2,1,1,1,3,3,2,1,28,6
439692923,73,2,1,2,11,1,4,1,1,2,1,1,2,2,3,2,1,2,28,8
439691420,71,2,1,3,NA,1,9,1,1,2,2,3,3,3,2,3,2,2,28,8
439691400,82,2,2,2,NA,1,1,1,1,2,1,1,1,1,2,2,1,1,28,8
439691384,53,2,1,5,9,1,7,2,1,1,3,1,1,3,2,1,3,3,28,6
439691366,77,2,1,2,NA,1,1,1,1,1,2,1,1,2,1,3,2,3,28,8
439691316,60,1,2,5,14,1,2,2,2,1,2,1,1,2,2,1,3,1,19,7
439691272,63,1,2,5,NA,1,7,1,2,2,2,2,2,2,2,2,2,2,19,7
439691237,43,1,1,5,13,1,4,1,2,1,2,1,1,1,3,3,2,1,19,5
439691208,85,1,2,3,NA,1,7,1,1,1,2,2,1,1,3,1,2,1,19,8
439691169,63,1,1,5,NA,1,6,1,2,1,1,1,2,3,3,1,1,1,19,7
439691149,40,1,1,11,12,1,4,1,1,1,2,2,2,1,3,3,1,1,19,5
439691140,64,1,1,11,13,1,99,1,1,1,2,2,2,2,2,1,1,2,19,7
439691121,70,1,2,3,NA,1,99,1,1,1,2,2,3,3,2,2,3,2,19,8
439689668,37,2,1,5,15,1,99,2,2,1,3,3,3,3,2,1,1,3,27,5
439689608,36,2,1,11,11,1,6,1,2,1,1,1,1,1,1,3,1,1,27,5
439689555,18,2,1,6,11,1,99,1,2,1,2,2,2,3,3,3,1,1,27,3
439689544,68,2,2,5,15,1,99,1,1,1,2,2,2,2,2,2,2,2,27,8
439689531,50,2,2,9,11,1,5,1,2,1,2,1,1,2,2,2,1,3,27,6
439686067,29,1,1,11,11,1,8,1,2,2,1,1,2,1,1,2,1,1,114,4
439686050,55,1,2,13,13,2,10,1,1,1,3,1,1,1,3,3,3,1,115,7
439685760,20,1,2,5,15,1,4,1,2,2,2,2,2,1,2,1,1,1,16,3
439685745,78,1,1,3,15,2,99,1,1,1,1,1,1,1,2,1,2,2,16,8
439685736,25,1,1,11,11,2,9,1,1,1,3,2,1,1,3,1,2,1,16,4
439685731,22,1,1,10,7,4,2,1,2,1,1,1,1,1,3,1,3,1,16,3
439685723,40,1,1,11,11,2,99,1,2,1,1,1,1,1,1,1,2,1,16,5
439685709,53,1,2,11,14,2,6,1,1,1,1,1,1,3,3,1,1,3,16,6
439683830,62,2,1,5,11,1,8,1,2,1,1,1,1,1,2,1,3,2,27,7
439683746,46,2,2,9,15,1,5,1,2,1,2,1,1,2,3,1,2,1,27,6
439683687,72,2,2,4,14,1,5,2,2,1,1,1,2,1,3,1,1,2,27,8
439683616,35,2,1,4,14,1,8,1,2,2,2,1,1,2,2,2,3,1,27,5
439683583,67,2,2,3,14,2,5,1,1,1,2,2,1,1,2,1,2,2,27,8
439680838,60,2,1,9,NA,2,7,1,1,1,2,2,1,1,3,1,1,1,27,7
439680832,70,2,2,5,15,1,3,1,1,1,1,1,3,2,2,1,3,3,27,8
439680819,88,2,2,3,NA,1,6,1,2,1,1,1,3,3,3,1,3,3,27,8
439680798,24,2,1,5,15,1,5,1,2,2,1,2,2,3,2,2,1,1,27,3
439680787,57,2,1,11,15,1,6,1,1,1,1,2,1,1,3,2,1,1,27,7
439680777,40,2,1,5,15,1,2,1,2,3,1,1,2,3,3,1,1,1,27,5
439680695,65,2,1,9,NA,1,8,1,1,2,1,1,1,1,3,1,2,1,27,8
439680691,64,2,1,5,15,1,4,1,2,2,1,1,1,2,1,2,2,1,27,7
