"","ID_Hogar","P9","Edad","P10","P12","P14","P1","P50","P82","P87","P90","P91","P92","P95","P96","P98","P100","P101"
"77",439212757,40,5,1,2,14,1,4,2,2,3,1,2,1,3,1,2,2
"78",438589537,69,8,2,5,NA,2,6,1,1,3,3,1,3,1,1,3,3
"79",440536945,78,8,1,6,NA,1,1,1,1,1,1,1,1,1,3,1,1
"80",439669019,47,6,1,9,15,2,6,1,1,3,2,2,1,3,3,1,1
"81",439691366,77,8,1,2,NA,1,1,1,1,2,1,1,2,1,3,2,3
"82",440145367,56,7,1,3,NA,1,4,1,2,3,1,1,3,3,2,2,3
"83",440506737,56,7,2,7,10,1,7,1,2,2,2,2,3,3,2,1,2
"84",438168226,69,8,1,3,11,1,99,1,1,2,1,1,1,1,2,1,2
"85",438585892,20,3,1,7,11,1,5,2,1,1,2,2,1,3,3,2,2
"86",438816359,49,6,2,9,15,2,5,2,2,3,1,1,3,3,2,3,2
"87",439221326,57,7,1,4,15,1,99,2,1,3,1,1,2,1,1,1,1
"88",439221599,54,6,1,5,6,1,4,2,1,3,1,2,3,1,1,2,1
"89",439692933,48,6,1,3,11,2,8,2,1,2,1,1,1,3,3,2,1
"90",440142467,41,5,2,8,15,1,6,2,2,1,1,1,3,2,1,3,1
"91",440145353,65,8,2,3,NA,1,2,1,1,3,1,1,1,2,1,2,1
"92",438599817,50,6,1,6,12,1,8,1,1,2,2,2,1,3,1,2,1
"93",440142433,55,7,2,5,NA,1,99,1,1,3,2,1,2,2,1,1,1
"94",437926141,55,7,2,9,15,1,2,2,1,3,1,1,2,2,2,3,3
"95",437970371,40,5,1,9,15,1,6,2,1,1,1,3,1,3,1,3,1
"96",437982488,55,7,1,11,15,2,8,2,2,2,2,3,3,1,1,3,1
"97",438329770,30,4,2,5,11,2,3,2,1,1,2,2,3,3,1,2,1
"98",438335206,30,4,1,7,15,2,5,1,1,2,2,2,2,2,2,2,2
"99",438589585,38,5,1,9,15,2,8,1,1,3,1,1,1,1,1,3,1
"100",438829089,62,7,1,3,14,2,99,1,2,3,3,3,2,2,2,1,2
"101",438853142,35,5,1,9,15,1,7,2,2,2,2,2,2,2,2,2,2
"102",439212624,36,5,1,11,11,4,2,2,2,2,1,1,2,3,1,1,1
"103",439212690,72,8,2,7,NA,1,6,1,1,3,1,1,1,3,1,3,1
"104",439221266,77,8,2,4,NA,1,6,1,1,1,1,1,1,1,2,2,1
"105",439237272,56,7,2,5,NA,1,99,1,2,2,2,2,2,2,2,3,2
"106",439662126,36,5,1,7,11,1,4,2,1,3,1,1,1,1,1,2,1
"107",440141923,29,4,2,7,11,1,5,2,1,3,1,1,1,3,2,1,1
"108",440143921,41,5,2,11,13,1,4,1,2,2,1,1,1,1,1,2,1
"109",440498908,54,6,1,9,14,1,99,2,2,2,1,1,1,3,3,2,1
"110",440542670,73,8,1,3,15,1,6,1,2,2,1,1,3,3,3,3,3
"111",440551064,56,7,2,11,14,1,4,2,1,3,1,1,3,3,1,3,2
"112",438333439,53,6,1,8,9,2,3,2,1,1,1,2,1,2,1,3,1
"113",438359358,35,5,2,13,13,1,9,1,2,3,1,2,1,1,1,3,1
"114",438599822,55,7,1,7,6,1,4,2,2,2,2,2,1,2,2,2,1
"115",438851745,42,5,1,9,15,2,5,1,1,1,1,3,1,1,1,1,3
"116",439226505,45,6,1,2,11,2,4,2,2,2,2,2,2,3,3,2,2
"117",438341430,80,8,2,11,NA,2,4,2,2,2,2,2,1,3,3,1,2
"118",438341469,24,3,2,10,11,2,8,2,2,2,1,1,1,2,1,1,1
"119",438586727,30,4,1,6,14,1,4,2,1,2,2,2,1,2,2,1,1
"120",438589434,50,6,2,8,11,1,8,1,1,1,1,2,1,3,1,2,1
"121",438589540,45,6,1,11,15,1,8,1,2,3,1,3,1,3,1,3,1
"122",438589605,36,5,2,8,11,1,7,2,2,2,1,1,1,3,1,2,1
"123",438590326,40,5,2,9,11,1,3,2,1,2,1,1,2,3,3,2,3
"124",438590383,56,7,2,4,14,1,4,2,1,2,1,1,1,3,2,2,2
"125",438850951,55,7,1,7,15,1,99,1,1,3,1,2,1,1,1,2,3
"126",439163528,46,6,1,7,15,1,6,2,1,2,1,3,2,2,2,2,1
"127",439212642,58,7,1,7,NA,1,7,1,1,2,2,1,1,3,2,2,1
"128",439230028,35,5,1,9,11,2,8,2,1,2,2,1,1,2,1,3,1
"129",439661994,50,6,2,3,15,2,2,2,1,1,1,1,1,2,1,3,1
"130",439692935,52,6,2,7,14,1,4,1,1,3,1,1,1,3,2,2,1
"131",440144209,56,7,1,9,15,1,3,2,1,1,2,1,1,1,3,1,1
"132",440559094,23,3,1,5,14,1,5,2,2,2,2,2,1,3,2,2,2
"133",439701751,29,4,2,9,17,1,99,2,3,3,3,3,3,3,1,3,3
"134",438322702,65,8,1,3,NA,1,3,2,1,3,1,3,1,3,3,3,1
"135",438341457,28,4,1,10,NA,3,6,2,2,2,1,3,2,3,1,3,1
"136",438357101,32,4,1,9,11,1,5,1,1,3,1,1,1,1,1,3,2
"137",438589590,38,5,1,8,9,2,7,2,1,2,1,3,3,3,3,2,1
"138",438590389,55,7,1,9,14,1,8,1,2,2,1,2,1,3,3,1,2
"139",438850956,34,4,1,3,15,3,5,2,1,2,2,2,2,2,2,2,2
"140",439228784,28,4,2,7,11,4,3,2,2,1,1,1,2,1,2,3,1
"141",440101922,49,6,2,5,NA,1,3,1,1,1,2,1,1,3,3,2,2
"142",440141771,48,6,2,9,NA,1,5,1,1,3,2,1,1,3,3,2,1
"143",440145422,55,7,1,7,7,1,2,2,2,3,1,1,2,2,3,1,2
"144",443452914,30,4,2,5,11,1,99,1,1,2,2,2,2,2,2,2,2
"145",443462687,70,8,1,11,15,1,99,2,2,3,2,2,1,3,3,2,1
"146",438586306,40,5,2,5,15,1,3,2,1,2,1,1,3,3,1,2,1
"147",438586623,53,6,1,11,6,1,7,2,1,3,1,1,1,1,2,2,1
"148",438597179,43,5,2,5,12,1,4,2,1,1,1,1,2,3,1,3,1
"149",438829068,32,4,2,10,11,1,99,2,2,2,2,1,3,1,1,2,1
"150",438327458,67,8,1,4,NA,1,99,1,1,2,2,1,1,3,3,3,1
"151",438585840,69,8,2,4,NA,1,4,1,1,3,2,1,2,3,3,2,1
"152",439680819,88,8,2,3,NA,1,6,2,1,1,1,3,3,3,1,3,3
"153",439683830,62,7,1,5,11,1,8,2,1,1,1,1,1,2,1,3,2
"154",438586524,40,5,1,13,11,1,7,1,1,3,1,1,2,2,1,1,1
"155",438586926,50,6,1,7,11,1,8,2,1,3,1,1,2,2,1,2,2
"156",439163494,34,4,1,7,15,2,6,2,2,2,2,2,1,3,2,2,2
"157",440139502,41,5,1,4,9,1,5,2,2,2,2,1,2,3,2,2,2
"158",440142518,77,8,1,2,17,1,3,2,2,2,2,1,3,3,3,2,1
"159",437946373,55,7,1,7,15,1,99,1,2,2,2,3,2,3,3,2,2
"160",437960765,49,6,1,5,NA,1,6,1,1,3,1,1,2,3,2,2,1
"161",438359402,39,5,1,9,12,2,8,2,1,1,1,1,1,2,3,1,2
