"cluster_k2","P87","P90","P91","P92","P95","P96","P98","P100","P101","cluster","count"
1,"61.1, 16.7, 22.2","27.8, 27.8, 44.4","66.7, 16.7, 16.7","61.1, 5.6, 33.3","0, 33.3, 66.7","22.2, 44.4, 33.3","100, 0, 0","11.1, 5.6, 83.3","44.4, 0, 55.6","88.9, 11.1",18
2,"70.4, 25.9, 3.7","44.4, 37, 18.5","55.6, 40.7, 3.7","33.3, 55.6, 11.1","51.9, 29.6, 18.5","14.8, 37, 48.1","63, 29.6, 7.4","40.7, 33.3, 25.9","48.1, 51.9, 0","14.8, 33.3, 51.9",27
