"cluster3","P87","P90","P91","P92","P95","P96","P98","P100","P101","count"
1,"70.3, 16.2, 13.5","45.9, 21.6, 32.4","70.3, 21.6, 8.1","54.1, 27, 18.9","37.8, 21.6, 40.5","21.6, 32.4, 45.9","91.9, 2.7, 5.4","29.7, 13.5, 56.8","56.8, 16.2, 27",37
2,"50, 50, 0","0, 87.5, 12.5","12.5, 75, 12.5","0, 75, 25","0, 75, 25","0, 75, 25","12.5, 87.5, 0","25, 62.5, 12.5","0, 100, 0",8
